budget,genres,id,keywords,original_language,original_title,popularity,production_countries,release_date,revenue,runtime,spoken_languages,status,title,vote_average,vote_count,movie_id,cast,crew,Profit
225000000,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",49521,"['saving the world', 'dc comics', 'superhero', 'based on comic book', 'superhuman', 'alien invasion', 'reboot', 'super powers', 'dc extended universe']",en,Man of Steel,99.398009,"['United Kingdom', 'United States of America']",2013-06-12,662845518,143.0,['English'],Released,Man of Steel,6.5,6359,49521,"['Henry Cavill', 'Amy Adams', 'Michael Shannon']",['Zack Snyder'],437845518
225000000,"['Adventure', 'Family', 'Fantasy']",2454,"['based on novel', 'fictional place', 'brother sister relationship', 'lion', 'human being', 'wretch', 'leap in time', 'matter of life and death', 'faith', 'uncle', 'narnia', 'fantasy world']",en,The Chronicles of Narnia: Prince Caspian,53.978602,"['Czech Republic', 'Poland', 'Slovenia', 'United States of America']",2008-05-15,419651413,150.0,['English'],Released,The Chronicles of Narnia: Prince Caspian,6.3,1630,2454,"['Ben Barnes', 'William Moseley', 'Anna Popplewell']",['Andrew Adamson'],194651413
220000000,"['Science Fiction', 'Action', 'Adventure']",24428,"['new york', 'shield', 'marvel comic', 'superhero', 'based on comic book', 'alien invasion', 'superhero team', 'aftercreditsstinger', 'duringcreditsstinger', 'marvel cinematic universe']",en,The Avengers,144.448633,['United States of America'],2012-04-25,1519557910,143.0,['English'],Released,The Avengers,7.4,11776,24428,"['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo']",['Joss Whedon'],1299557910
380000000,"['Adventure', 'Action', 'Fantasy']",1865,"['sea', 'captain', 'mutiny', 'sword', 'prime minister', 'sailing', 'silver', 'ship', 'duke', 'mermaid', 'pirate', 'soldier', 'battle', 'swashbuckler', 'aftercreditsstinger', '3d']",en,Pirates of the Caribbean: On Stranger Tides,135.413856,['United States of America'],2011-05-14,1045713802,136.0,"['English', 'Español']",Released,Pirates of the Caribbean: On Stranger Tides,6.4,4948,1865,"['Johnny Depp', 'Penélope Cruz', 'Ian McShane']",['Rob Marshall'],665713802
225000000,"['Action', 'Comedy', 'Science Fiction']",41154,"['time travel', 'time machine', 'alien', 'fictional government agency', 'seeing the future', 'changing history']",en,Men in Black 3,52.035179,['United States of America'],2012-05-23,624026776,106.0,['English'],Released,Men in Black 3,6.2,4160,41154,"['Will Smith', 'Tommy Lee Jones', 'Josh Brolin']",['Barry Sonnenfeld'],399026776
250000000,"['Action', 'Adventure', 'Fantasy']",122917,"['corruption', 'elves', 'dwarves', 'orcs', 'middle-earth (tolkien)', 'hobbit', 'dragon', 'battle', 'unlikely friendship', 'epic battle', 'sword and sorcery']",en,The Hobbit: The Battle of the Five Armies,120.965743,"['New Zealand', 'United States of America']",2014-12-10,956019788,144.0,['English'],Released,The Hobbit: The Battle of the Five Armies,7.1,4760,122917,"['Martin Freeman', 'Ian McKellen', 'Richard Armitage']",['Peter Jackson'],706019788
215000000,"['Action', 'Adventure', 'Fantasy']",1930,"['loss of father', 'vigilante', 'serum', 'marvel comic', 'scientific experiment', 'spider bite', 'masked vigilante', 'reboot', 'super powers', 'genetic engineering', 'social outcast', 'duringcreditsstinger']",en,The Amazing Spider-Man,89.866276,['United States of America'],2012-06-27,752215857,136.0,['English'],Released,The Amazing Spider-Man,6.5,6586,1930,"['Andrew Garfield', 'Emma Stone', 'Rhys Ifans']",['Marc Webb'],537215857
200000000,"['Action', 'Adventure']",20662,"['robin hood', 'archer', 'knight', 'sherwood forest', 'bow and arrow', 'middle ages', 'medieval', 'king of england']",en,Robin Hood,37.668301,"['United Kingdom', 'United States of America']",2010-05-12,310669540,140.0,"['English', 'ภาษาไทย']",Released,Robin Hood,6.2,1398,20662,"['Russell Crowe', 'Cate Blanchett', 'Max von Sydow']",['Ridley Scott'],110669540
250000000,"['Adventure', 'Fantasy']",57158,"['elves', 'dwarves', 'orcs', 'hobbit', 'dragon', 'wizard', 'sword and sorcery']",en,The Hobbit: The Desolation of Smaug,94.370564,"['New Zealand', 'United States of America']",2013-12-11,958400000,161.0,['English'],Released,The Hobbit: The Desolation of Smaug,7.6,4524,57158,"['Martin Freeman', 'Ian McKellen', 'Richard Armitage']",['Peter Jackson'],708400000
180000000,"['Adventure', 'Fantasy']",2268,"['england', 'compass', 'experiment', 'lordship', 'uncle', 'polar bear', 'orphan', 'animal', 'based on young adult novel']",en,The Golden Compass,42.990906,"['United Kingdom', 'United States of America']",2007-12-04,372234864,113.0,"['Íslenska', 'English', 'Pусский', 'Français']",Released,The Golden Compass,5.8,1303,2268,"['Dakota Blue Richards', 'Nicole Kidman', 'Daniel Craig']",['Chris Weitz'],192234864
207000000,"['Adventure', 'Drama', 'Action']",254,"['film business', 'screenplay', 'show business', 'film making', 'film producer', 'exotic island', 'monster', 'indigenous', 'ship', 'dinosaur']",en,King Kong,61.22601,"['New Zealand', 'United States of America', 'Germany']",2005-12-14,550000000,187.0,['English'],Released,King Kong,6.6,2337,254,"['Naomi Watts', 'Jack Black', 'Adrien Brody']",['Peter Jackson'],343000000
200000000,"['Drama', 'Romance', 'Thriller']",597,"['shipwreck', 'iceberg', 'ship', 'panic', 'titanic', 'ocean liner', 'epic', 'rich woman - poor man', 'love', 'disaster', 'tragic love', 'class differences', 'imax', 'star crossed lovers', 'steerage', 'salvage', 'rich snob', '3d', '1910s']",en,Titanic,100.025899,['United States of America'],1997-11-18,1845034188,194.0,"['English', 'Français', 'Deutsch', 'svenska', 'Italiano', 'Pусский']",Released,Titanic,7.5,7562,597,"['Kate Winslet', 'Leonardo DiCaprio', 'Frances Fisher']",['James Cameron'],1645034188
250000000,"['Adventure', 'Action', 'Science Fiction']",271110,"['civil war', 'war', 'marvel comic', 'sequel', 'superhero', 'based on comic book', 'imax', 'aftercreditsstinger', 'duringcreditsstinger', 'marvel cinematic universe', '3d']",en,Captain America: Civil War,198.372395,['United States of America'],2016-04-27,1153304495,147.0,"['Română', 'English', 'Deutsch', 'Pусский']",Released,Captain America: Civil War,7.1,7241,271110,"['Chris Evans', 'Robert Downey Jr.', 'Scarlett Johansson']",['Anthony Russo'],903304495
209000000,"['Thriller', 'Action', 'Adventure', 'Science Fiction']",44833,"['fight', 'u.s. navy', 'mind reading', 'hong kong', 'soccer', 'scientist', 'fictional war', 'naval', 'armada', 'battleship', 'naval combat', 'jds myoko', 'lost communication', 'taser', 'buoy', 'communications expert', 'joint chiefs of staff', 'crash landing', 'jet fighter pilot', 'navy lieutenant', 'permission to marry', 'uss john paul jones', 'based on board game', 'aftercreditsstinger', 'mighty mo', 'uss missouri']",en,Battleship,64.928382,['United States of America'],2012-04-11,303025485,131.0,"['English', 'ภาษาไทย']",Released,Battleship,5.5,2114,44833,"['Taylor Kitsch', 'Alexander Skarsgård', 'Rihanna']",['Peter Berg'],94025485
150000000,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",135397,"['monster', 'dna', 'tyrannosaurus rex', 'velociraptor', 'island', 'sequel', 'suspense', 'disaster', 'escape', 'dinosaur', 'amusement park', 'animal attack', 'theme park', 'jurassic park', '3d', 'animal horror']",en,Jurassic World,418.708552,['United States of America'],2015-06-09,1513528810,124.0,['English'],Released,Jurassic World,6.5,8662,135397,"['Chris Pratt', 'Bryce Dallas Howard', 'Irrfan Khan']",['Colin Trevorrow'],1363528810
200000000,"['Action', 'Adventure', 'Thriller']",37724,"['spy', 'secret agent', 'sociopath', 'killer', 'art gallery', 'british secret service', 'istanbul turkey', 'imax', 'uzi', 'booby trap', 'impersonating a police officer', 'macao']",en,Skyfall,93.004993,"['United Kingdom', 'United States of America']",2012-10-25,1108561013,143.0,['English'],Released,Skyfall,6.9,7604,37724,"['Daniel Craig', 'Judi Dench', 'Javier Bardem']",['Sam Mendes'],908561013
200000000,"['Action', 'Adventure', 'Fantasy']",558,"['dual identity', ""love of one's life"", 'pizza boy', 'marvel comic', 'sequel', 'superhero', 'doctor', 'scientist', 'tentacle', 'death', 'super villain']",en,Spider-Man 2,35.149586,['United States of America'],2004-06-25,783766341,127.0,"['English', 'Pусский', '普通话']",Released,Spider-Man 2,6.7,4321,558,"['Tobey Maguire', 'Kirsten Dunst', 'James Franco']",['Sam Raimi'],583766341
200000000,"['Action', 'Adventure', 'Science Fiction']",68721,"['terrorist', 'war on terror', 'tennessee', 'malibu', 'marvel comic', 'superhero', 'based on comic book', 'tony stark', 'iron man', 'aftercreditsstinger', 'marvel cinematic universe', 'mandarin', '3d', 'war machine', 'iron patriot', 'extremis']",en,Iron Man 3,77.68208,"['China', 'United States of America']",2013-04-18,1215439994,130.0,['English'],Released,Iron Man 3,6.8,8806,68721,"['Robert Downey Jr.', 'Gwyneth Paltrow', 'Don Cheadle']",['Shane Black'],1015439994
200000000,"['Family', 'Fantasy', 'Adventure']",12155,"['based on novel', 'fictional place', 'queen', 'fantasy', 'alice in wonderland', 'fantasy world', '3d']",en,Alice in Wonderland,78.530105,['United States of America'],2010-03-03,1025491110,108.0,['English'],Released,Alice in Wonderland,6.4,4645,12155,"['Mia Wasikowska', 'Johnny Depp', 'Anne Hathaway']",['Tim Burton'],825491110
210000000,"['Adventure', 'Action', 'Science Fiction', 'Thriller']",36668,"['mutant', 'marvel comic', 'based on comic book', 'superhuman', 'beast', 'cyclops', 'aftercreditsstinger']",en,X-Men: The Last Stand,3.857526,"['Canada', 'United Kingdom', 'United States of America']",2006-05-24,459359555,104.0,['English'],Released,X-Men: The Last Stand,6.3,3525,36668,"['Hugh Jackman', 'Halle Berry', 'Ian McKellen']",['Brett Ratner'],249359555
200000000,"['Animation', 'Family']",62211,"['monster', 'dormitory', 'games', 'animation', 'best friend', 'university', 'scary', 'aftercreditsstinger']",en,Monsters University,89.186492,['United States of America'],2013-06-20,743559607,104.0,['English'],Released,Monsters University,7.0,3528,62211,"['Billy Crystal', 'John Goodman', 'Steve Buscemi']",['Dan Scanlon'],543559607
150000000,"['Science Fiction', 'Action', 'Adventure']",8373,"['egypt', 'sun', 'chaos', 'symbol', 'artifact', 'transformers', 'tank', 'robot', 'imax', 'duringcreditsstinger']",en,Transformers: Revenge of the Fallen,21.939663,['United States of America'],2009-06-19,836297228,150.0,"['English', 'Español']",Released,Transformers: Revenge of the Fallen,6.0,3138,8373,"['Shia LaBeouf', 'Megan Fox', 'Josh Duhamel']",['Michael Bay'],686297228
210000000,"['Science Fiction', 'Action', 'Adventure']",91314,"['sequel', 'alien', 'transformers', 'giant robot', 'robot', 'imax', 'transforming robot']",en,Transformers: Age of Extinction,116.840296,['United States of America'],2014-06-25,1091405097,165.0,['English'],Released,Transformers: Age of Extinction,5.8,3095,91314,"['Mark Wahlberg', 'Stanley Tucci', 'Kelsey Grammer']",['Michael Bay'],881405097
200000000,"['Fantasy', 'Adventure', 'Family']",68728,"['circus', 'witch', 'magic', 'hope', 'illusion', 'lost', 'magic trick', 'wizard', '3d']",en,Oz: The Great and Powerful,46.985445,['United States of America'],2013-03-07,491868548,130.0,['English'],Released,Oz: The Great and Powerful,5.7,3530,68728,"['James Franco', 'Mila Kunis', 'Rachel Weisz']",['Sam Raimi'],291868548
200000000,"['Action', 'Adventure', 'Fantasy']",102382,"['obsession', 'marvel comic', 'sequel', 'based on comic book', 'electrocution', 'medical experiment', 'electricity', 'super powers']",en,The Amazing Spider-Man 2,89.270217,['United States of America'],2014-04-16,705717432,142.0,['English'],Released,The Amazing Spider-Man 2,6.5,4179,102382,"['Andrew Garfield', 'Emma Stone', 'Jamie Foxx']",['Marc Webb'],505717432
170000000,"['Adventure', 'Action', 'Science Fiction']",20526,"['artificial intelligence', 'secret identity', 'computer program', 'dystopia', 'computer', 'deception', 'duel', 'motorcycle', 'neon light', 'autocracy']",en,TRON: Legacy,73.79505,['United States of America'],2010-12-10,400062763,125.0,['English'],Released,TRON: Legacy,6.3,2841,20526,"['Garrett Hedlund', 'Jeff Bridges', 'Olivia Wilde']",['Joseph Kosinski'],230062763
200000000,"['Animation', 'Family', 'Adventure', 'Comedy']",49013,"['car race', 'sequel', 'comedy', 'anthropomorphism', 'best friend', 'duringcreditsstinger']",en,Cars 2,49.98659,['United States of America'],2011-06-11,559852396,106.0,"['English', '日本語', 'Italiano', 'Français']",Released,Cars 2,5.8,2033,49013,"['Owen Wilson', 'Larry the Cable Guy', 'Michael Caine']",['John Lasseter'],359852396
200000000,"['Adventure', 'Action', 'Thriller', 'Science Fiction']",44912,"['dc comics', 'transformation', 'superhero', 'alien', 'alien infection', 'magical object', 'protector', 'super powers', 'origin', '3d']",en,Green Lantern,51.872839,['United States of America'],2011-06-16,219851172,114.0,['English'],Released,Green Lantern,5.1,2487,44912,"['Ryan Reynolds', 'Blake Lively', 'Peter Sarsgaard']",['Martin Campbell'],19851172
200000000,"['Animation', 'Family', 'Comedy']",10193,"['hostage', 'college', 'toy', 'barbie', 'animation', 'escape', 'day care', 'teddy bear', 'duringcreditsstinger', 'toy comes to life', 'personification', 'inanimate objects coming to life', 'toy story']",en,Toy Story 3,59.995418,['United States of America'],2010-06-16,1066969703,103.0,"['English', 'Español']",Released,Toy Story 3,7.6,4597,10193,"['Tom Hanks', 'Tim Allen', 'Ned Beatty']",['Lee Unkrich'],866969703
200000000,"['Action', 'Science Fiction', 'Thriller']",534,"['saving the world', 'artificial intelligence', 'prophecy', 'san francisco', 'cyborg', 'killer robot', 'gas station', 'post-apocalyptic', 'dystopia', 'army', 'firearm', 'wartime', 'los angeles']",en,Terminator Salvation,71.862892,"['Germany', 'Italy', 'United Kingdom', 'United States of America']",2009-05-20,371353001,115.0,"['English', 'Italiano']",Released,Terminator Salvation,5.9,2463,534,"['Christian Bale', 'Sam Worthington', 'Anton Yelchin']",['McG'],171353001
190000000,['Action'],168259,"['car race', 'speed', 'revenge', 'suspense', 'car', 'race', 'muscle car']",en,Furious 7,102.322217,"['Japan', 'United States of America']",2015-04-01,1506249360,137.0,['English'],Released,Furious 7,7.3,4176,168259,"['Vin Diesel', 'Paul Walker', 'Dwayne Johnson']",['James Wan'],1316249360
200000000,"['Action', 'Drama', 'Horror', 'Science Fiction', 'Thriller']",72190,"['dystopia', 'apocalypse', 'zombie', 'nuclear weapons', 'multiple perspectives', 'zombie apocalypse']",en,World War Z,81.834855,"['United States of America', 'Malta']",2013-06-20,531865000,116.0,['English'],Released,World War Z,6.7,5560,72190,"['Brad Pitt', 'Mireille Enos', 'Abigail Hargrove']",['Marc Forster'],331865000
250000000,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",127585,"['1970s', 'mutant', 'time travel', 'marvel comic', 'based on comic book', 'superhuman', 'storm', 'beast', 'aftercreditsstinger', 'changing the past or future']",en,X-Men: Days of Future Past,118.078691,"['United Kingdom', 'United States of America']",2014-05-15,747862775,131.0,['English'],Released,X-Men: Days of Future Past,7.5,6032,127585,"['Hugh Jackman', 'James McAvoy', 'Michael Fassbender']",['Bryan Singer'],497862775
190000000,"['Action', 'Adventure', 'Science Fiction']",54138,"['spacecraft', 'friendship', 'sequel', 'futuristic', 'space', 'alien', 'imax', 'space opera', 'terrorist bombing', '3d']",en,Star Trek Into Darkness,78.291018,['United States of America'],2013-05-05,467365246,132.0,['English'],Released,Star Trek Into Darkness,7.4,4418,54138,"['Chris Pine', 'Zachary Quinto', 'Zoe Saldana']",['J.J. Abrams'],277365246
195000000,"['Action', 'Family', 'Fantasy']",81005,"['based on fairy tale', 'giant']",en,Jack the Giant Slayer,43.349855,['United States of America'],2013-02-27,197687603,114.0,['English'],Released,Jack the Giant Slayer,5.5,2598,81005,"['Nicholas Hoult', 'Eleanor Tomlinson', 'Ewan McGregor']",['Bryan Singer'],2687603
105000000,"['Drama', 'Romance']",64682,"['based on novel', 'infidelity', 'obsession', 'hope', '3d']",en,The Great Gatsby,61.196071,"['United States of America', 'Australia']",2013-05-10,351040419,143.0,['English'],Released,The Great Gatsby,7.3,3769,64682,"['Leonardo DiCaprio', 'Tobey Maguire', 'Carey Mulligan']",['Baz Luhrmann'],246040419
150000000,"['Adventure', 'Fantasy', 'Action', 'Romance']",9543,"['persia', 'sandstorm', 'brother against brother', 'armageddon', 'regent', 'based on video game']",en,Prince of Persia: The Sands of Time,62.169881,['United States of America'],2010-05-19,335154643,116.0,['English'],Released,Prince of Persia: The Sands of Time,6.2,2317,9543,"['Jake Gyllenhaal', 'Gemma Arterton', 'Ben Kingsley']",['Mike Newell'],185154643
180000000,"['Action', 'Science Fiction', 'Adventure']",68726,"['dystopia', 'giant robot', 'giant monster', 'apocalypse', 'imax', 'duringcreditsstinger', '3d']",en,Pacific Rim,56.523205,"['United States of America', 'Canada']",2013-07-11,407602906,131.0,['English'],Released,Pacific Rim,6.7,4794,68726,"['Idris Elba', 'Charlie Hunnam', 'Charlie Day']",['Guillermo del Toro'],227602906
195000000,"['Action', 'Science Fiction', 'Adventure']",38356,"['moon', 'spacecraft', 'traitor', 'bodyguard', 'alien planet', 'based on cartoon', 'transformers', 'giant robot', 'sabotage', 'word domination', 'commando', 'duringcreditsstinger']",en,Transformers: Dark of the Moon,28.529607,['United States of America'],2011-06-28,1123746996,154.0,['English'],Released,Transformers: Dark of the Moon,6.1,3299,38356,"['Shia LaBeouf', 'John Malkovich', 'Ken Jeong']",['Michael Bay'],928746996
185000000,"['Adventure', 'Action']",217,"['saving the world', 'riddle', 'whip', 'treasure', 'mexico city', 'leather jacket', 'machinegun', 'alien phenomenons', 'maya civilization', 'peru', 'treasure hunt', 'nuclear explosion', 'refrigerator', 'archaeologist', 'indiana jones', 'archeology\xa0']",en,Indiana Jones and the Kingdom of the Crystal Skull,75.674458,['United States of America'],2008-05-21,786636033,122.0,"['English', 'Deutsch', 'Pусский']",Released,Indiana Jones and the Kingdom of the Crystal Skull,5.7,2495,217,"['Harrison Ford', 'Cate Blanchett', 'Shia LaBeouf']",['Steven Spielberg'],601636033
175000000,"['Adventure', 'Animation', 'Family']",105864,"['tyrannosaurus rex', 'friends', 'alternate history', 'dinosaur', 'fear', 'storm', 'nature', 'human', 'journey']",en,The Good Dinosaur,51.692953,['United States of America'],2015-11-14,331926147,93.0,['English'],Released,The Good Dinosaur,6.6,1736,105864,"['Raymond Ochoa', 'Jack Bright', 'Jeffrey Wright']",['Peter Sohn'],156926147
185000000,"['Animation', 'Adventure', 'Comedy', 'Family', 'Action', 'Fantasy']",62177,"['scotland', 'rebel', 'bravery', 'kingdom', 'archer', 'wish', 'bear', 'scot', 'rebellious daughter', 'turns into animal', 'archery', 'ruins', 'aftercreditsstinger', 'peace offering', 'woman director', 'courage', '3d']",en,Brave,125.114374,['United States of America'],2012-06-21,538983207,93.0,['English'],Released,Brave,6.7,4641,62177,"['Kelly Macdonald', 'Julie Walters', 'Billy Connolly']",['Brenda Chapman'],353983207
185000000,"['Action', 'Adventure', 'Science Fiction']",188927,"['sequel', 'stranded', 'hatred', 'space opera']",en,Star Trek Beyond,65.352913,['United States of America'],2016-07-07,343471816,122.0,['English'],Released,Star Trek Beyond,6.6,2568,188927,"['Chris Pine', 'Zachary Quinto', 'Karl Urban']",['Justin Lin'],158471816
180000000,"['Animation', 'Family']",10681,['romantic comedy'],en,WALL·E,66.390712,['United States of America'],2008-06-22,521311860,98.0,['English'],Released,WALL·E,7.8,6296,10681,"['Ben Burtt', 'Elissa Knight', 'Jeff Garlin']",['Andrew Stanton'],341311860
140000000,"['Action', 'Comedy', 'Crime', 'Thriller']",5174,['ambassador'],en,Rush Hour 3,22.57178,['United States of America'],2007-08-08,258022233,91.0,"['Latin', 'English', 'Français', '日本語', '普通话']",Released,Rush Hour 3,6.1,783,5174,"['Chris Tucker', 'Jackie Chan', 'Hiroyuki Sanada']",['Brett Ratner'],118022233
200000000,"['Action', 'Adventure', 'Science Fiction']",14161,"['civilization', 'natural disaster', 'end of the world', 'disaster', 'apocalypse', 'destruction', 'volcanic eruption', 'mayan', 'ark', 'solar', 'destruction  of mankind']",en,2012,45.274225,"['Canada', 'United States of America']",2009-10-10,769653595,158.0,"['English', 'Français', 'हिन्दी', 'Italiano', 'Latin', '普通话', 'Português', 'Pусский', '']",Released,2012,5.6,4903,14161,"['John Cusack', 'Amanda Peet', 'Chiwetel Ejiofor']",['Roland Emmerich'],569653595
200000000,"['Animation', 'Drama']",17979,"['holiday', 'based on novel', 'victorian england', 'money', 'christmas eve', 'scrooge', 'christmas carol', 'ghost', 'lesson', 'charles dickens', 'christmas']",en,A Christmas Carol,39.744242,['United States of America'],2009-11-04,325233863,96.0,['English'],Released,A Christmas Carol,6.6,1095,17979,"['Gary Oldman', 'Jim Carrey', 'Steve Valentine']",['Robert Zemeckis'],125233863
176000003,"['Science Fiction', 'Fantasy', 'Action', 'Adventure']",76757,"['jupiter', 'space', 'woman director', '3d', 'interspecies romance']",en,Jupiter Ascending,85.36908,['United States of America'],2015-02-04,183987723,124.0,['English'],Released,Jupiter Ascending,5.2,2768,76757,"['Mila Kunis', 'Channing Tatum', 'Sean Bean']",['Lilly Wachowski'],7987720
